NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Die Natur auf dem ""Joelette"" im Naturpark Lüneburger Heide",,2015,,"12907,93"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Die Natur auf dem Pferd erleben - Aktivierung des bestehenden
Reitwegepotentials im erweiterten Naturpark Lüneburger Heide",,2009,,"44476,43"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Die Natur auf dem Rad erleben - Themenorientiertes Premiumrad-
fahren im erweiterten Naturpark Lünreburger Heide",,2010,,78500
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Die Natur zu Fuß erleben - Nordic Walking im erweiterten Naturpark
Lüneburger Heide",,2009,,31000
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Internetpräsentation der Natur und naturbezogener Angebote des
Naturparks Lüneburger Heide",,2009,,"34999,99"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,Naturblicke im Naturpark Lüneburger Heide - Planung,,2013,,40000
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,Naturblicke im Naturpark Lüneburger Heide Teil 2 - Umsetzung,2013,,247000,
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,"Naturerlebnisse mit mobilen Technologien im Naturpark Lüneburger
Heide",2013,,31500,
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,Naturwunder im Naturpark Lüneburger Heide,,2012,,"63964,27"
Naturparkregion Lüneburger Heide e.V. c/o Landkreis Harburg,Themenwandern im Naturpark Lüneburger Heide,,2010,,"74540,82"
Naturschutzstiftung des Landkreises Cuxhaven,"Erstellung der Broschüre ""Naturerlebnis Cuxland""",,2009,,"35284,74"
Naturschutzstiftung des Landkreises Cuxhaven,Modernisierung des Waldmuseums Wingst,,2014,,"130521,84"
ND Montage,Konzept zur Erstellung einer professionellen Internetpräsenz,,2013,,2800
Nerak GmbH Fördertechnik,Entwicklung eines Nahrungsmittelförderbechers,,2010,,9600
Netzwerk Nachhaltiges Bauen e. V.,Netzwerk Nachhaltiges Bauen,,2012,,"347957,15"
NETZ-Zentrum für innovative Technologie Osterholz GmbH,Breitband Kompetenz Zentrum Niedersachsen 2015,2014,,337162,
NETZ-Zentrum für innovative Technologie Osterholz GmbH,"Errichtung einer Werkstatt-, Produktions- und Lagerhalle beim NE TZ-
Zentrum",,2012,,"413359,47"
NETZ-Zentrum für innovative Technologie Osterholz GmbH,"Fortführung Breitband Kompetenz Zentrum Niedersachsen (bIzIn) 20
11-2013",2011,,"1716165,59",
NETZ-Zentrum für innovative Technologie Osterholz GmbH,"Hallenerweiterung des NETZ-Zentrums für innovative Technologi e
Osterholz GmbH",2013,,818500,
NETZ-Zentrum für innovative Technologie Osterholz GmbH,Niedersächsisches Breitbandkompetenzzentrum Osterholz,,2011,,"1061034,4"
New-York Hamburger Gummi-Waaren Compagnie AG,Erweiterung einer Betriebsstätte,,2013,,"1813042,33"
NHS Bildungszentrum OHG,Entwicklung eines Corporate Design,,2012,,1300
Nicola Mahnke Naturerlebnis mit Genuss,Erstellung eines neuen Web-Marketing-Konzeptes,,2012,,5000
Niebuhr Gartengestaltung GmbH,Beratung zu Positionierung und Relaunch der Website,,2014,,6000
Niedersachsen Ports GmbH & Co. KG,Erweiterung des Nordwest-Kais im Hafen Stade-Bützfleth,,2011,,12473000
Niedersachsen Ports GmbH & Co. KG,Herstellung Offshore Basishafen Cuxhaven,,2009,,"31885018,88"
Niedersachsen Ports GmbH & Co. KG,Offshore Basis Cuxhaven Errichtung der Hafensohle Liegeplatz 8,,2014,,3090000
Niedersachsen Ports GmbH & Co. KG,Östliche Erweiterung Offshore Basis Cuxhaven Liegeplatz 9,,2013,,41000000
Niedersachsenhof,Erstellung von Konzepten zu Marktingaktivitäten über das Internet,,2013,,6000
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"Ausbau der Landesstraße 217 in der Gemarkung und Ortsdurchfahrt
Tespe",2013,,1918000,
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Ausbau der OD Ahlden im Zuge der L 191,2014,,"502428,78",
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Ausbau der OD Apensen,,2011,,"722125,11"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Ausbau der OD Salzhausen im Zuge der L 234,2013,,342000,
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Ausbau der OD Tespe im Zuge der L 217,,2012,,"732494,03"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Ausbau der Ortsdurchfahrt Avendorf,,2014,,1196000
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 123, Ausbau der Ortsdurchfahrt Essel",2014,,1617424,
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 131, Neubau der L 131, OU Elsdorf einschließlich der Anschluss
stelle im Zuge der BAB A 1",2011,,9392000,
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 134, Verlegung der L 134 in Stubben/Bokel zur Beseitigung des
höhengleichen Bahnüberganges, km 4,110 - km 4,699",2013,,"2439337,48",
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 140, Gemeinde Jork, km 19,445 bis 19,645, Ausbau der Ortsdurch
fahrt Jork mit Überquerungshilfe und Radwegsanierung",2009,,201000,
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 156, Erhöhung zwischen Uesen - Hütte und Deichschart
Matthias.Rammelkamp@nlstbv-ver.niedersachsen.de",2014,,"1559013,93",
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 158, Beseitigung des Bahnübergangs Langwedel/Förth",2010,,1438000,
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 171, Umbau der Ortsdurchfahrt Neuenkirchen",,2011,,"880859,9"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 190, Ersatzbauwerk für die Allerbrücke bei Essel",,2013,,"6068339,09"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L149, Ausbau der OD Schwanewede-Molkereiweg, km 5,326 - km
6,179",2013,,"1091765,55",
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"Nachrechnung von Brücken und Untersuchung auf
Spannungsrisskorro sion, Konvergenz",2014,,1430452,
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"Neubau der OU Heber im Zuge der B 3, zur Anbindung der geplanten
Anschlussstelle ""Heideregion""",2011,,2541400,
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Verlegung der B3 Celle/Ehlershausen,,2013,,"25189736,61"
Niedersächsisches Landesamt für Denkmalpflege,Machbarkeitsstudie Schlosskapelle Celle,2014,,"98289,15",
Nitis Umstandsmode Inh. Heiko Warnemünde,"Konzeptionelle Beratung zur Umsatzsteigerung durch eine
Verbesserung des Textilversandes über das Internet",,2012,,4000
"NLWKN - Niedersächsischer Landesbetrieb für
Wasserwirtschaft, Küsten- und Naturschutz","Förderung des Naturerlebens im Zusammenhang mit den
Beweidungs- projekten in den Naturschutzgebieten ""Cuxhavener
Küstenheiden"",",,2011,,"67327,83"
"NLWKN - Niedersächsischer Landesbetrieb für
Wasserwirtschaft, Küsten- und Naturschutz","Internetportal ""Natur erleben"" - Optimierung und Ergänzung der
Darstellung von Naturerlebnismöglichkeiten in Niedersachsen",,2012,,54803
"NLWKN - Niedersächsischer Landesbetrieb für
Wasserwirtschaft, Küsten- und Naturschutz","Internetportal ""Natur erleben"" - Phase 2012",,2013,,"64212,17"
"NLWKN - Niedersächsischer Landesbetrieb für
Wasserwirtschaft, Küsten- und Naturschutz","Natur erleben - Moorrenaturierung im Naturschutzgebiet ""Großes
Moor bei Becklingen""",,2014,,"97484,56"
"NLWKN - Niedersächsischer Landesbetrieb für
Wasserwirtschaft, Küsten- und Naturschutz","Natur in Niedersachsen mit dem Rad erleben -
Informationsmaterialien und Maßnahmen",,2015,,"55312,82"
"NLWKN - Niedersächsischer Landesbetrieb für
Wasserwirtschaft, Küsten- und Naturschutz",Natur in Niedersachsen per Rad erleben,,2012,,"44057,61"
"NLWKN - Niedersächsischer Landesbetrieb für
Wasserwirtschaft, Küsten- und Naturschutz","Wasser, Marsch! - Konzept, Pilotphase",,2013,,"67076,32"
Norddeutsches Zentrum für Nachhaltiges Bauen GmbH,Norddeutsches Zentrum für Nachhaltiges Bauen (Errichtung),2011,,"5811683,99",
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Anträge aus der Entscheiderrunde des Vergabeausschusses vom
12.11.2009 - Zielgebiet Konvergenz",,2012,,"20327,96"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Anträge aus der Entscheidung des Vergabeausschusses vom
22.02.2008Konvergenz",,2009,,"27862,31"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Anträge aus der Entscheidung des Vergabeausschusses vom
29.11.2007 Ziel Konvergenz",,2009,,18490
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung d. Vergabeausschusses v. 07.03.2011 DIGI
Konvergenz",,2012,,18000
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 01.11.2011,,2013,,"188571,5"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 01.11.2011,,2013,,"41304,34"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 01.11.2012,,2013,,"37768,5"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 02.03.2010 -
Konvergenz",,2011,,"50298,91"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 07.03.2011 EFRE -
Konvergenz",,2012,,18670
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 07.07.2014,2014,,53751,
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 08.06.2010 -
Konvergenz -",,2011,,"51194,01"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 10.06.2013,,2014,,35730
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 20.03.2012,,2013,,"222256,68"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 21.06.2011 -
Konvergenz",,2013,,"131224,98"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 21.06.2011 -
Konvergenz",,2012,,"121944,5"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 22.02.2013,2013,,"35662,42",
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 22.02.2013 -
Konvergenz",2013,,54394,
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 22.02.2013 -
Konvergenz",,2015,,"105811,56"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 22.10.2013,,2015,,64350
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 26.03.2014,,2015,,"24725,09"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 28.11.2014,2014,,50000,
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung Vergabeausschuss vom 11.06.2012,,2014,,"162643,57"
Nordseeferienhöfe Katthusen & Lafrenz,"Ausbau der Vermarktung und Verbreitung des Ferienangebotes der
Nordseehöfe im Internet",,2011,,2800
Nordseeheilbad Cuxhaven GmbH,"Modernisierung Strandbereich Cuxhaven, Strandabschnitt Duhnen",2013,,"3537513,4",
Nordseeheilbad Cuxhaven GmbH,"Modernisierung von Infrastruktureinrichtungen - Projektvorhaben
Thalassozentrum Cuxhaven",2012,,8203273,
"Norka Norddeutsche Kunststoff- und Elektro-Gesellschaft
Stäcker mbH & Co.KG",Überarbeitung und Modernisierung des Unternehmensdesigns,,2010,,10000
Normatherm Stahlheizkesselbau GmbH,"Erweiterung der Betriebsstätte durch Kauf von Maschinen und
Software",2009,,"30937,5",
NTS Tischlerei Linden GmbH,Herstellung Konstruktions- u. Fertigbauteile,,2011,,512200
Nya Nordiska Textiles GmbH,Erweiterung einer Betriebsstätte,,2012,,"1810542,93"
Ö. Contur,Entwicklung einer Internetpräsenz,,2012,,5400
O.S.T. Cuxhaven GmbH & Co KG,Errichtung einer neuen Betriebsstätte,2012,,210000,
Oberdick & Koch GmbH & Co. KG,Erstellung eines Web-Marketing-Konzeptes,,2013,,2600
Odore Gewürz GmbH,Kauf und Umbaueiner stillgelegten Betriebsstätte,,2010,,"24263,99"
Öko-Korn-Nord w.V.,Grundstückskauf und Hallenbau,,2014,,"256834,71"
Ökologische Baustoffe & Bautechnik Kurt Kessel e.K.,Überarbeitung der Organisationsstruktur,,2012,,2175
Ökologischer Holzbau Sellstedt,Analyse und Neuausrichtung der vorhandenen Strukturen,,2012,,2900
Olaf Dehning Landmaschinen,Anpassung von Kompetenzen der Beschäftigten,,2012,,4250
Oldenburgisch Ostfriesischer Wasserverband,"Aufhebung der Kläranlagen Hagen-Wulsbüttel und Hagen-
Kassebruch",,2011,,"702909,01"
onlyglass Produktion GmbH,Fertigungsgerechte Produktentwicklung der OnlyGlass Powerfacade,2014,,70500,
Optiker Bernd Dose,Erarbeitung eines professionellen Internetauftrittes,,2012,,2400
Optimal Tarife / Opita,Designberatung für die Erstellung eines Außenauftritts,,2012,,3000
Ordemann Tischlerei GmbH & Co. KG,Erweiterung der bestehenden Betriebsstätte,,2014,,"68558,5"
Orfix International GmbH & Co.KG,Erweiterung einer bestehenden Betriebsstätte,,2011,,"155566,65"
Orgelakademie Stade e.V.,"""Orgel und Kulturtourismus in der Region Unterelbe""",2011,,"299680,46",
Orthopädie und Rehatechnik Rulitschka Uelzen GmbH,"EDV-gestützte Fertigung v. orthopädischen Hilfsmitteln mit Hilfe
innovativer Scannertechnologie in Norddeutschland",,2014,,33100
"Ostfalia Hochschule für angewandte Wissenschaften HS
Braunschweig/ Wolfenbüttel","Einsatz von Algenkulturen zur weitergehenden Abwasserreinigung
und Biomasseproduktion",,2013,,"127459,9"
"Ostfalia Hochschule für angewandte Wissenschaften HS
Braunschweig/ Wolfenbüttel",Forschungsinfrastruktur Suderburg für interdisziplinären FSP,2013,,1268000,
"Ostfalia Hochschule für angewandte Wissenschaften HS
Braunschweig/ Wolfenbüttel","Hyperwall - Multidimensionale Daten mittels massiv paralleler
heterogener Architekturen",,2011,,"72772,67"
"Ostfalia Hochschule für angewandte Wissenschaften HS
Braunschweig/ Wolfenbüttel","Machbarkeitsstudie: Schwermetallentfernung aus niedersächsischen
Flusssedimenten/ Totwasserzonen SANFT",2014,,"44408,18",
"Ostfalia Hochschule für angewandte Wissenschaften HS
Braunschweig/ Wolfenbüttel",NANO-SAX,2012,,161972,
"Ostfalia Hochschule für angewandte Wissenschaften HS
Braunschweig/ Wolfenbüttel",NANO-ZEIT,,2015,,"152046,03"
"Ostfalia Hochschule für angewandte Wissenschaften HS
Braunschweig/ Wolfenbüttel","Pharmarückstandsanalytik und Entfernung in bzw. aus Abwässern
""PHARM-ENT""",2014,,"48088,43",
"Ostfalia Hochschule für angewandte Wissenschaften HS
Braunschweig/ Wolfenbüttel",Phosphorrückgewinnung aus der Klärschlammvererdung,2014,,"43807,66",
Ostpreußisches Jagd- und Landesmuseum e.V.,"Umbau des Scharffschen Hauses zur Erweiterung des
Ostpreußischen Landesmuseums",2014,,1139919,
otx AG,"Entwicklung einer semantischen Vertrauensbewertung von
Handelspartnern im internationalen B2B-Online-Handel",,2014,,"51037,11"
otx AG,"Gründung und Aufbau des Unternehmens organic trade exchange
GmbH i.G.",,2011,,18000
"P.I.A. Frau, Wirtschaft und Gewerbe",Elbetal Markt,2013,,90000,
P.S. Rode GmbH,Erweiterung der Betriebsstätte,,2014,,"111078,35"
Paarcoaching Lüneburg GbR,Konzeptionierung des Online-Marketing,,2012,,2000
Pape Haustechnik GmbH,"Erfassung des aktuellen, betriebsspezifischen Beratungsbedarfs im
Bereich Mitarbeiterqualifizierung",,2013,,10000
Papiton GmbH,Erweiterung einer Betriebsstätte,,2011,,71100
Parkhotel Hitzacker KG,"Entwicklung eines Konzeptes zur anstehenden
Unternehmensnachfolge",,2011,,10000
Partyservice Waida Anja und Eike Albrecht GbR,Erarbeitung eines professionellen Internet-Auftrittes,,2014,,4000
Pawlak Artdesign GmbH,"Verlagerung der alten Betriebsstätte, Bau eines Gebäudes, Erwerb
eines Grundstückes",,2013,,"33860,19"
Peter Albers,Aufbau eines Web-Marketing-Konzeptes,,2012,,1920
Peter Heisig Spezialtiefbau GmbH,"Erstellung eines Web-Marketing-Konzeptes für Peter Heisig
technische Dienstleistungen GmbH",,2012,,1580
Peter Wrzesinski Getränke-Center,Erstellung einer Machbarkeitsanalyse,,2013,,2000
Pferdeland Niedersachsen GmbH,"Beratung zur Erschließung neuer Möglichkeiten für die
Öffentlichkeitsarbeit über Web-Marketing",,2014,,2250
PFH Private Fachhochschule Göttingen - Standort Stade,"Centrum Entrepreneurial Technology - Entwicklung einer strukturm
echanischen Modellbildung für Klebverbindungen",,2013,,"151496,01"
PFH Private Fachhochschule Göttingen - Standort Stade,Centrum Entrepreneurial Technology - Forschungsinfrastruktur,,2013,,"377208,24"
PFH Private Fachhochschule Göttingen - Standort Stade,CET - Hybridstrukturen,2011,,225060,
PFH Private Fachhochschule Göttingen - Standort Stade,"Machbarkeitsstudie berufsbezogener wissenschaftlicher Weiter-
bildungsangebote im Faserverbund-Leichtbau im Raum Stade",,2011,,"24989,16"
"Pflegedienst ""Stadt und Land"" GmbH K. Corleis",Erarbeitung eines professionellen Internet-Auftrittes,,2012,,5000
Pflegedienst T. Mertins GmbH Thessy Mertins,"Beratung und Konzeption zur Erstellung einer professionellen
Interpräsenz",,2012,,3200
PGN - Production Group North,Beratung zur Erstellung einer professionellen Internetpräsenz,,2013,,2000
Pilzgarten GmbH,Entwicklung des Corporate Design,,2011,,6400
Pinette Emidecau GmbH,"Erwerb Einrichtungen, Maschinen und Anlagen und Neuinvestitionen",,2013,,"14454,69"
Pinformation LTD Deutschland,Erarbeitung eines Web-Marketingkonzeptes,2014,,10000,
Pipe Systems GmbH,Artic Animal,2014,,45500,
pixel-kraft Christoph Ziegler,Optimierung der Online-Aktivitäten in Bezug auf Neukundenfindung,,2011,,1750
Planungsgemeinschaft Nord GmbH,Erstellung eines neuen Web-Marketing-Konzeptes,,2013,,10000
Pohlmann creatives UG,"Gründung und Aufbau Ihres Unternehmens ""Pohlmann creatives UG""",2013,,18000,
Point Einrichtungssysteme GmbH,Erstellung eines Marketingkonzeptes,,2010,,8000
Prädentis Praxissysteme GmbH,Erstellung von Konzepten zu Marketingmaßnahmen über das Internet,,2013,,2600
Praxis für systemisches Coaching - Kommunikation - Beratung,Erstellung eines Marketingkonzeptes,,2011,,2025
