NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
NETZ-Zentrum für innovative Technologie Osterholz GmbH,"Fortführung Breitband Kompetenz Zentrum Niedersachsen (bIzIn)
2011-2013",,2016,,"1.363.180,02"
NETZ-Zentrum für innovative Technologie Osterholz GmbH,"Hallenerweiterung des NETZ-Zentrums für innovative Technologie
Osterholz GmbH",,2015,,"818.500,00"
NETZ-Zentrum für innovative Technologie Osterholz GmbH,"Fortführung des Breitband Kompetenz Zentrums Niedersachsen
(b|z|n) 2014",,2015,,"467.591,75"
NETZ-Zentrum für innovative Technologie Osterholz GmbH,Breitband Kompetenz Zentrum Niedersachsen 2015,,2016,,"217.189,72"
New-York Hamburger Gummi-Waaren Compagnie AG,Erweiterung einer Betriebsstätte,,2013,,"1.813.042,33"
NHS Bildungszentrum OHG,Entwicklung eines Corporate Design,,2012,,"1.300,00"
Nicola Mahnke Naturerlebnis mit Genuss,Erstellung eines neuen Web-Marketing-Konzeptes,,2012,,"5.000,00"
Niebuhr Gartengestaltung GmbH,Beratung zu Positionierung und Relaunch der Website,,2014,,"6.000,00"
Niedersachsen Ports GmbH & Co. KG,Herstellung Offshore Basishafen Cuxhaven,,2009,,"31.885.018,88"
Niedersachsen Ports GmbH & Co. KG,Erweiterung des Nordwest-Kais im Hafen Stade-Bützfleth,,2011,,"12.473.000,00"
Niedersachsen Ports GmbH & Co. KG,Östliche Erweiterung Offshore Basis Cuxhaven Liegeplatz 9,,2013,,"35.775.524,00"
Niedersachsen Ports GmbH & Co. KG,Offshore Basis Cuxhaven Errichtung der Hafensohle Liegeplatz 8,,2014,,"1.556.429,00"
Niedersachsen Ports GmbH & Co. KG,"Neubau eines Dalbenliegeplatzes, Brücke 3, im Amerikahafen",,2016,,"1.959.748,93"
Niedersachsen Ports GmbH & Co. KG,Verlegung der Baumrönne,,2016,,"9.527.443,52"
Niedersachsen Ports GmbH & Co. KG,"Herrichtung des Fähranlegers Steubenhöft nebst Verkehrs- und
Aufstellflächen für die Elbfähre Cuxhaven-Brunsbüttel",,2016,,"1.153.653,34"
Niedersachsenhof,Erstellung von Konzepten zu Marktingaktivitäten über das Internet,,2013,,"6.000,00"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Verlegung der B3 Celle/Ehlershausen,,2013,,"25.189.736,61"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 171, Umbau der Ortsdurchfahrt Neuenkirchen",,2011,,"880.859,90"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Ausbau der OD Apensen,,2011,,"722.125,11"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Ausbau der Ortsdurchfahrt Avendorf,,2014,,"1.196.000,00"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Ausbau der OD Tespe im Zuge der L 217,,2012,,"732.494,03"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 140, Gemeinde Jork, km 19,445 bis 19,645, Ausbau der Ortsdurch
fahrt Jork mit Überquerungshilfe und Radwegsanierung",,2015,,"415.205,57"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 190, Ersatzbauwerk für die Allerbrücke bei Essel",,2013,,"6.068.339,09"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 156, Erhöhung zwischen Uesen - Hütte und Deichschart",,2015,,"1.665.943,11"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 131, Neubau der L 131, OU Elsdorf einschließlich der Anschluss
stelle im Zuge der BAB A 1",,2015,,"7.777.289,08"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 158, Beseitigung des Bahnübergangs Langwedel/Förth",,2015,,"1.438.000,00"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 151, Ersatzbau Wümmebrücke, km 1,568",,2016,,"5.812.791,29"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"Neubau der OU Heber im Zuge der B 3, zur Anbindung der geplanten
Anschlussstelle ""Heideregion""",,2016,,"2.618.546,55"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Ausbau der OD Salzhausen im Zuge der L 234,,2015,,"342.000,00"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"Ausbau der Landesstraße 217 in der Gemarkung und Ortsdurchfahrt
Tespe",,2015,,"1.577.510,39"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L149, Ausbau der OD Schwanewede-Molkereiweg, km 5,326 - km
6,179",,2015,,"1.104.480,91"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"Verlegung der L 134 in Stubben/Bokel zur höhenungleichen Kreuzun g
für Straßen-, Rad- u. Fußgängerverkehr, km 4,110 - km 4,699",,2016,,"1.786.348,45"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,Ausbau der OD Ahlden im Zuge der L 191,,2015,,"473.871,31"
Niedersächsische Landesbehörde für Straßenbau und Verkehr,"L 123, Ausbau der Ortsdurchfahrt Essel",,2015,,"1.325.220,71"
Niedersächsisches Landesamt für Denkmalpflege,Machbarkeitsstudie Schlosskapelle Celle,,2015,,"85.894,54"
Nitis Umstandsmode Inh. Heiko Warnemünde,"Konzeptionelle Beratung zur Umsatzsteigerung durch eine
Verbesserung des Textilversandes über das Internet",,2012,,"4.000,00"
"NLWKN - Niedersächsischer Landesbetrieb für Wasserwirtschaft,
Küsten- und Naturschutz","Förderung des Naturerlebens im Zusammenhang mit den Beweidungs-
projekten in den Naturschutzgebieten ""Cuxhavener Küstenheiden"",",,2011,,"67.327,83"
"NLWKN - Niedersächsischer Landesbetrieb für Wasserwirtschaft,
Küsten- und Naturschutz",Natur in Niedersachsen per Rad erleben,,2012,,"44.057,61"
"NLWKN - Niedersächsischer Landesbetrieb für Wasserwirtschaft,
Küsten- und Naturschutz","Internetportal ""Natur erleben"" - Optimierung und Ergänzung der
Darstellung von Naturerlebnismöglichkeiten in Niedersachsen",,2012,,"54.803,00"
"NLWKN - Niedersächsischer Landesbetrieb für Wasserwirtschaft,
Küsten- und Naturschutz","Wasser, Marsch! - Konzept, Pilotphase",,2013,,"67.076,32"
"NLWKN - Niedersächsischer Landesbetrieb für Wasserwirtschaft,
Küsten- und Naturschutz","Natur erleben - Moorrenaturierung im Naturschutzgebiet ""Großes Moor
bei Becklingen""",,2014,,"97.484,56"
"NLWKN - Niedersächsischer Landesbetrieb für Wasserwirtschaft,
Küsten- und Naturschutz","Internetportal ""Natur erleben"" - Phase 2012",,2013,,"64.212,17"
"NLWKN - Niedersächsischer Landesbetrieb für Wasserwirtschaft,
Küsten- und Naturschutz","Natur in Niedersachsen mit dem Rad erleben - Informationsmaterialien
und Maßnahmen",,2015,,"55.312,82"
Norddeutsches Zentrum für Nachhaltiges Bauen GmbH,Norddeutsches Zentrum für Nachhaltiges Bauen (Errichtung),,2015,,"5.861.300,00"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Anträge aus der Entscheidung des Vergabeausschusses vom
22.02.2008Konvergenz",,2009,,"27.862,31"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Anträge aus der Entscheidung des Vergabeausschusses vom
13.11.2008 Ziel Konvergenz",,2010,,"14.008,00"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Anträge aus der Entscheiderrunde des Vergabeausschusses vom
12.11.2009 - Zielgebiet Konvergenz",,2012,,"20.327,96"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 02.03.2010 -
Konvergenz",,2011,,"50.298,91"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 08.06.2010 -Konvergenz
-",,2011,,"51.194,01"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung d. Vergabeausschusses v. 07.03.2011 DIGI Konvergenz,,2012,,"18.000,00"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 07.03.2011 EFRE -
Konvergenz",,2012,,"18.670,00"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 21.06.2011 -
Konvergenz",,2013,,"131.224,98"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 21.06.2011 -
Konvergenz",,2012,,"121.944,50"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 01.11.2011,,2013,,"188.571,50"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 01.11.2011,,2013,,"41.304,34"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 20.03.2012,,2013,,"222.256,68"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung Vergabeausschuss vom 11.06.2012,,2014,,"162.643,57"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 01.11.2012,,2013,,"37.768,50"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 22.02.2013 -
Konvergenz",,2015,,"53.516,94"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH","Entscheidung des Vergabeausschusses vom 22.02.2013 -
Konvergenz",,2015,,"105.811,56"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 10.06.2013,,2014,,"32.435,25"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 22.02.2013,,2016,,"33.501,68"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 22.10.2013,,2015,,"64.350,00"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 22.10.2013,,2016,,"70.780,40"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 26.03.2014,,2015,,"24.725,09"
"nordmedia - Film- und Medien- gesellschaft Niedersachsen /
Bremen mbH",Entscheidung des Vergabeausschusses vom 07.07.2014,,2015,,"53.649,53"
Nordseeferienhöfe Katthusen & Lafrenz,"Ausbau der Vermarktung und Verbreitung des Ferienangebotes der
Nordseehöfe im Internet",,2011,,"2.800,00"
Nordseeheilbad Cuxhaven GmbH,"Modernisierung von Infrastruktureinrichtungen - Projektvorhaben
Thalassozentrum Cuxhaven",,2016,,"7.603.871,80"
Nordseeheilbad Cuxhaven GmbH,"Modernisierung Strandbereich Cuxhaven, Strandabschnitt Duhnen",,2015,,"3.537.513,40"
"Norka Norddeutsche Kunststoff- und Elektro-Gesellschaft Stäcker
mbH & Co.KG",Überarbeitung und Modernisierung des Unternehmensdesigns,,2010,,"10.000,00"
Normatherm Stahlheizkesselbau GmbH,"Erweiterung der Betriebsstätte durch Kauf von Maschinen und
Software",2009,,"30.937,50",
NTS Tischlerei Linden GmbH,Herstellung Konstruktions- u. Fertigbauteile,,2011,,"512.200,00"
Nya Nordiska Textiles GmbH,Erweiterung einer Betriebsstätte,,2012,,"1.810.542,93"
Ö. Contur,Entwicklung einer Internetpräsenz,,2012,,"5.400,00"
O.S.T. Cuxhaven GmbH & Co KG,Errichtung einer neuen Betriebsstätte,,2015,,"172.080,56"
Oberdick & Koch GmbH & Co. KG,Erstellung eines Web-Marketing-Konzeptes,,2013,,"2.600,00"
Odore Gewürz GmbH,Kauf und Umbaueiner stillgelegten Betriebsstätte,,2010,,"24.263,99"
Öko-Korn-Nord w.V.,Grundstückskauf und Hallenbau,,2014,,"256.834,71"
Ökologische Baustoffe & Bautechnik Kurt Kessel e.K.,Überarbeitung der Organisationsstruktur,,2012,,"2.175,00"
Ökologischer Holzbau Sellstedt,Analyse und Neuausrichtung der vorhandenen Strukturen,,2012,,"2.900,00"
Olaf Dehning Landmaschinen,Anpassung von Kompetenzen der Beschäftigten,,2012,,"4.250,00"
Oldenburgisch Ostfriesischer Wasserverband,Aufhebung der Kläranlagen Hagen-Wulsbüttel und Hagen-Kassebruch,,2011,,"702.909,01"
onlyglass Produktion GmbH,Fertigungsgerechte Produktentwicklung der OnlyGlass Powerfacade,,2016,,"6.353,13"
Optiker Bernd Dose,Erarbeitung eines professionellen Internetauftrittes,,2012,,"2.400,00"
Optimal Tarife / Opita,Designberatung für die Erstellung eines Außenauftritts,,2012,,"3.000,00"
Orchideen Zentrum Wichmann GmbH,"Marketingberatung zur Erhöhung der Kundenzufriedenheit,
Kundenbindung und Umsatzsteigerung",,2008,,"6.000,00"
Ordemann Tischlerei GmbH & Co. KG,Erweiterung der bestehenden Betriebsstätte,,2014,,"68.558,50"
Orfix International GmbH & Co.KG,Erweiterung einer bestehenden Betriebsstätte,,2011,,"155.566,65"
Orgelakademie Stade e.V.,"""Orgel und Kulturtourismus in der Region Unterelbe""",,2015,,"262.279,24"
Orthopädie und Rehatechnik Rulitschka Uelzen GmbH,"EDV-gestützte Fertigung v. orthopädischen Hilfsmitteln mit Hilfe
innovativer Scannertechnologie in Norddeutschland",,2014,,"33.100,00"
"Ostfalia Hochschule für angewandte Wissenschaften -
Hochschule Braunschweig/Wolfenbüttel","Hyperwall - Multidimensionale Daten mittels massiv paralleler
heterogener Architekturen",,2011,,"72.772,67"
"Ostfalia Hochschule für angewandte Wissenschaften -
Hochschule Braunschweig/Wolfenbüttel","Einsatz von Algenkulturen zur weitergehenden Abwasserreinigung und
Biomasseproduktion",,2013,,"127.459,90"
"Ostfalia Hochschule für angewandte Wissenschaften -
Hochschule Braunschweig/Wolfenbüttel",NANO-ZEIT,,2015,,"152.046,03"
"Ostfalia Hochschule für angewandte Wissenschaften -
Hochschule Braunschweig/Wolfenbüttel",NANO-SAX,,2015,,"160.461,62"
"Ostfalia Hochschule für angewandte Wissenschaften -
Hochschule Braunschweig/Wolfenbüttel",Forschungsinfrastruktur Suderburg für interdisziplinären FSP,,2016,,"1.106.460,58"
"Ostfalia Hochschule für angewandte Wissenschaften -
Hochschule Braunschweig/Wolfenbüttel","Machbarkeitsstudie: Schwermetallentfernung aus niedersächsischen
Flusssedimenten/ Totwasserzonen SANFT",,2015,,"37.587,54"
"Ostfalia Hochschule für angewandte Wissenschaften -
Hochschule Braunschweig/Wolfenbüttel",Phosphorrückgewinnung aus der Klärschlammvererdung,,2015,,"35.955,34"
"Ostfalia Hochschule für angewandte Wissenschaften -
Hochschule Braunschweig/Wolfenbüttel","Pharmarückstandsanalytik und Entfernung in bzw. aus Abwässern
""PHARM-ENT""",,2015,,"42.889,49"
Ostpreußisches Jagd- und Landesmuseum e.V.,"Umbau des Scharffschen Hauses zur Erweiterung des
Ostpreußischen Landesmuseums",,2016,,"1.139.919,00"
otx AG,"Gründung und Aufbau des Unternehmens organic trade exchange
GmbH i.G.",,2011,,"18.000,00"
otx AG,"Entwicklung einer semantischen Vertrauensbewertung von
Handelspartnern im internationalen B2B-Online-Handel",,2014,,"51.037,11"
"P.I.A. Frau, Wirtschaft und Gewerbe",Elbetal Markt,,2015,,"90.000,00"
P.S. Rode GmbH,Erweiterung der Betriebsstätte,,2014,,"111.078,35"
Paarcoaching Lüneburg GbR,Konzeptionierung des Online-Marketing,,2012,,"2.000,00"
Pape Haustechnik GmbH,"Erfassung des aktuellen, betriebsspezifischen Beratungsbedarfs im
Bereich Mitarbeiterqualifizierung",,2013,,"10.000,00"
Papiton GmbH,Erweiterung einer Betriebsstätte,,2011,,"71.100,00"
Parkhotel Hitzacker KG,"Entwicklung eines Konzeptes zur anstehenden
Unternehmensnachfolge",,2011,,"10.000,00"
Parti - Service Hauschildt,Erarbeitung eines professionellen Internetauftrittes,,2014,,"6.000,00"
Partyservice Waida Anja und Eike Albrecht GbR,Erarbeitung eines professionellen Internet-Auftrittes,,2014,,"4.000,00"
Pawlak Artdesign GmbH,"Verlagerung der alten Betriebsstätte, Bau eines Gebäudes, Erwerb
eines Grundstückes",,2013,,"33.860,19"
Peter Albers,Aufbau eines Web-Marketing-Konzeptes,,2012,,"1.920,00"
Peter Heisig Spezialtiefbau GmbH,"Erstellung eines Web-Marketing-Konzeptes für Peter Heisig
technische Dienstleistungen GmbH",,2012,,"1.580,00"
Peter Wrzesinski Getränke-Center,Erstellung einer Machbarkeitsanalyse,,2013,,"2.000,00"
Pferdeland Niedersachsen GmbH,"Beratung zur Erschließung neuer Möglichkeiten für die
Öffentlichkeitsarbeit über Web-Marketing",,2014,,"2.250,00"
PFH Private Fachhochschule Göttingen - Standort Stade,"Machbarkeitsstudie berufsbezogener wissenschaftlicher Weiter-
bildungsangebote im Faserverbund-Leichtbau im Raum Stade",,2011,,"24.989,16"
PFH Private Fachhochschule Göttingen - Standort Stade,Centrum Entrepreneurial Technology - Forschungsinfrastruktur,,2013,,"377.208,24"
PFH Private Fachhochschule Göttingen - Standort Stade,"Centrum Entrepreneurial Technology - Entwicklung einer
strukturmechanischen Modellbildung für Klebverbindungen",,2013,,"151.496,01"
PFH Private Fachhochschule Göttingen - Standort Stade,CET - Hybridstrukturen,,2015,,"188.647,10"
"Pflegedienst ""Stadt und Land"" GmbH K. Corleis",Erarbeitung eines professionellen Internet-Auftrittes,,2012,,"5.000,00"
Pflegedienst T. Mertins GmbH Thessy Mertins,"Beratung und Konzeption zur Erstellung einer professionellen
Interpräsenz",,2012,,"3.200,00"
PGN - Production Group North,Beratung zur Erstellung einer professionellen Internetpräsenz,,2013,,"2.000,00"
Pilzgarten GmbH,Entwicklung des Corporate Design,,2011,,"6.400,00"
Pinette Emidecau GmbH,"Erwerb Einrichtungen, Maschinen und Anlagen und Neuinvestitionen",,2013,,"14.454,69"
Pinformation LTD Deutschland,Erarbeitung eines Web-Marketingkonzeptes,,2015,,"9.200,00"
Pipe Systems GmbH,Artic Animal,,2015,,"23.929,68"
pixel-kraft Christoph Ziegler,Optimierung der Online-Aktivitäten in Bezug auf Neukundenfindung,,2011,,"1.750,00"
Planungsgemeinschaft Nord GmbH,Erstellung eines neuen Web-Marketing-Konzeptes,,2013,,"10.000,00"
Pohlmann creatives UG,"Gründung und Aufbau Ihres Unternehmens ""Pohlmann creatives UG""",,2015,,"18.000,00"
Point Einrichtungssysteme GmbH,Erstellung eines Marketingkonzeptes,,2010,,"8.000,00"
Prädentis Praxissysteme GmbH,Erstellung von Konzepten zu Marketingmaßnahmen über das Internet,,2013,,"2.600,00"
"Praxis für Psychotherapie, Neuro- psychologie und Biofeedback","Gründung und Aufbau Ihrer Praxis für Psychotherapie,
Neuropsychologie und Biofeedback",,2015,,"17.479,71"
Praxis für systemisches Coaching - Kommunikation - Beratung,Erstellung eines Marketingkonzeptes,,2011,,"2.025,00"
PRIMO-REISEN GmbH,"Entwicklung von Vermarktungsstrategien für ein erworbenes
Unternehmen",,2010,,"10.000,00"
Privatpraxis für Physiotherapie Regina Furgler & Katrin Gräfe,Beratung bezüglich Corporate Design und Corporate Identity,,2009,,"3.100,00"
PRODÄMM,"Beratung zur Neukundengwinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,"2.400,00"
Profi Musik Handels GmbH,Erweiterung der Betriebsstätte,,2011,,"58.273,83"
Profi Musik Verwaltungs GmbH,Erweiterung einer Betriebsstätte,,2010,,"308.341,63"
Profiles GmbH,Errichtung einer neuen Betriebsstätte in 29525 Uelzen,,2015,,"907.208,08"
Profiles GmbH,"Enwicklung eines modularen Wandbekleidungs- und
Unterkonstruktionssystems - Hidden Structures",,2015,,"80.600,00"
Protones Audiotechnik,Erweiterung der Betriebsstätte,,2012,,"59.084,18"
Prüfzentrum Altes Land Torsten Biehn,"Beratung zur Umsatzsteigerung und Werbewirkung durch gezieltes
Online-Marketing",,2014,,"4.000,00"
PSV Projekt Support Vehicles GmbH & Co. KG,Einstellung eines Innovationsassistenten,,2011,,"9.000,00"
PSV Projekt Support Vehicles GmbH & Co. KG,Erfassung des betrieblichen Weiterbildungsbedarfs,,2012,,"5.200,00"
Punkt - Media,Werbeagentur,,2013,,"6.196,12"
PYTEC Thermochemische Anlagen GmbH,Einstellung einer Innovationsassistentin,,2010,,"9.309,60"
PYTEC Thermochemische Anlagen GmbH,Einstellung einer Innovationsassistentin,,2011,,"2.000,00"
Qlean-tec Deutschland GmbH,Konzeptionelle Beratung zur Überarbeitung der Webpräsenz,,2013,,"6.000,00"
Quell Technik GmbH,"Beratung zur Erstellung eines neuen Web-Marketing-Konzeptes zur
Neukundengewinnung",,2013,,"10.000,00"
QUOTAC Management GmbH,Einstellung eines Innovationsassistenten,,2010,,"12.000,00"
QUOTAC Management GmbH,Einstellung einer Innovationsassistentin,,2012,,"9.000,00"
QUOTAC Management GmbH,Einstellung einer Innovationsassistentin,,2013,,"11.250,00"
