Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge 1,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge 1
Landesbetrieb für Hochwasserschutz,"IS Deich Wörlitz-Mittelhölzer - 1. Abschnitt
(lfd. Nr. MPl 2012: 253)",2012,2013," 1.097.835,95"," 1.097.835,95"
Landesbetrieb für Hochwasserschutz,"IS Deich geotechn. Sicherung Dessau Waldersee
(Lfd. Nr. M-Plan 2012: 500)",2013,2014," 31.467,24"," 31.467,24"
Landesbetrieb für Hochwasserschutz,"IS Floßgraben in 3 Bauabschnitten
(lfd. Nr. M-Plan 2015: 834)",2015,2015," 241.581,57"," 241.581,57"
Landesbetrieb für Hochwasserschutz,"IS Gimritzer Damm, Dammkörper
(lfd. Nr. MPl 2012: 360)",2012,2013," 28.188,09"," 28.188,09"
Landesbetrieb für Hochwasserschutz,"IS Hubschütz Döllnitz
(lfd. Nr. MPl. 2012: 344)",2012,2014," 179.606,44"," 179.606,44"
Landesbetrieb für Hochwasserschutz,"IS Warnau; km 14,6-18,4",2011,2012," 113.918,59"," 113.918,59"
Landesbetrieb für Hochwasserschutz,IS Wehr Oschersleben,2011,2015," 114.823,23"," 114.823,23"
Landesbetrieb für Hochwasserschutz,"IS Winterdeich Beuchlitz
(lfd. Nr. Maßnahmeplan 2012: 492/493)",2012,2015," 342.765,95"," 342.765,95"
Landesbetrieb für Hochwasserschutz,Instandsetzung  Verteilerwehr Mützel,2010,2015," 91.897,93"," 91.897,93"
Landesbetrieb für Hochwasserschutz,Instandsetzung Deich Drohndorf (MP 2010-Nr.: 55),2010,2015," 42.869,16"," 42.869,16"
Landesbetrieb für Hochwasserschutz,"Instandsetzung Siel Breitscheidstraße Herrenkrugdeich
(Maßnahmeplan Nr. 387/388)",2009,2010," 113.217,38"," 113.217,38"
Landesbetrieb für Hochwasserschutz,"NB Brücke 31 OL Klein Schierstedt
(lfd. Nr. MPl. 2014: 606)",2014,2015," 68.466,45"," 68.466,45"
Landesbetrieb für Hochwasserschutz,NB Brücke Mühlenstr. Ilsenburg,2011,2014," 313.854,92"," 313.854,92"
Landesbetrieb für Hochwasserschutz,"NB Deich Altjeßnitz
lfd. Nr.: M-Plan 2013: 384",2013,2015," 16.999,45"," 16.999,45"
Landesbetrieb für Hochwasserschutz,"NB Deich Markwerbener Wiese
(lfd. Nr. M.-Plan 2015: 632)",2015,2015," 27.785,98"," 27.785,98"
Landesbetrieb für Hochwasserschutz,"NB Deich OL Klein Schierstedt
(lfd. Nr. MPl 2014: 593)",2014,2015," 558.687,93"," 558.687,93"
Landesbetrieb für Hochwasserschutz,"NB Deich OL Klein Schierstedt
lfd. Nr. M-Plan 2013:413",2013,2015," 12.383,53"," 12.383,53"
Landesbetrieb für Hochwasserschutz,"NB Deich Oschersleben, OT Hordorf
(lfd. Nr. MPl 2011: 309)",2011,2015," 47.007,39"," 47.007,39"
Landesbetrieb für Hochwasserschutz,"NB Deich Westeregeln
(lfd. Nr. MPl 2013: 35)",2013,2015," 43.860,26"," 43.860,26"
Landesbetrieb für Hochwasserschutz,"NB FAA Umgehungsgerinne Stadtwehr Dessau
(lfd. Nr. MPl 2014: 415)",2014,2015," 213.535,70"," 213.535,70"
Landesbetrieb für Hochwasserschutz,NB HWS Elster (lfd.Nr. MP 2012: 254),2012,2015," 125.280,69"," 125.280,69"
Landesbetrieb für Hochwasserschutz,"NB HWS Elster BA 1
(lfd. Nr. MPl. 2012: 453)",2012,2015," 2.762.099,70"," 2.762.099,70"
Landesbetrieb für Hochwasserschutz,"NB HWS Günthersdorf
(lfd. Nr. M.-plan 2015: 726)",2015,2015," 16.974,15"," 16.974,15"
Landesbetrieb für Hochwasserschutz,"NB Polder Klietz-Schönfeld
(lfd. Nr. MPl 2015: 705)",2015,2015," 29.295,53"," 29.295,53"
Landesbetrieb für Hochwasserschutz,"NB Polder Rösa, 1. BA
lfd. Nr. M.-plan 2015: 527",2015,2015," 4.237.767,19"," 4.237.767,19"
Landesbetrieb für Hochwasserschutz,"NB Polder Schartau-Blumenthal
(lfd. Nr. lt. MPl. 707)",2015,2015," 36.033,08"," 36.033,08"
Landesbetrieb für Hochwasserschutz,"NB Rauhgerinne Osterwieck (lfd. Nr. Maßnahmeplan 2011:
425)",2011,2013," 859.268,01"," 859.268,01"
Landesbetrieb für Hochwasserschutz,"NB Siel Deich Wörmlitz
(lfd. Nr. MPl 2012: 361/362)",2012,2015," 111.105,89"," 111.105,89"
Landesbetrieb für Hochwasserschutz,"Neubau Deich Berßel und Neubau Raugerinne Berßel (MP
2010, Nr.: 119, 120, 121, 122)",2010,2015," 886.022,07"," 886.022,07"
Landesbetrieb für Hochwasserschutz,Neubau Deich Biederitz (Deichlückenschluß),2010,2015," 4.163.442,11"," 4.163.442,11"
Landesbetrieb für Hochwasserschutz,"Neubau Deich Egeln Nord (MP 2010, Nr.: 97)",2010,2015," 33.675,64"," 33.675,64"
Landesbetrieb für Hochwasserschutz,"Neubau Deich Osterwiek (MP 2010, Nr.: 157/158)",2010,2015," 300.726,03"," 300.726,03"
Landesbetrieb für Hochwasserschutz,"Neubau Hochwasserschutz Längs und Querbauwerken,
Egeln (MP2010, Nr.:96)",2010,2013," 12.815,57"," 12.815,57"
Landesbetrieb für Hochwasserschutz,"Neubau Rauhgerinne, Wehrgruppe Brühl    (MP 2010, Nr.
212)",2010,2013," 148.279,38"," 148.279,38"
Landesbetrieb für Hochwasserschutz,Planung Ausbau Deich Espenlake (Maßnahmeplan Nr. 248),2009,2010," 18.478,21"," 18.478,21"
Landesbetrieb für Hochwasserschutz,"Planung Ausbau HWS Hettstedt km 39+500 bis 36+500, (lfd.
Nr. Maßnahmeplan 2014: 397)",2014,2015," 71.513,00"," 71.513,00"
Landesbetrieb für Hochwasserschutz,"Planung Ausbau Hochwasserschutz Ortslage Derenburg
(Maßnahmeplan Nr. 340)",2009,2015," 29.644,69"," 29.644,69"
Landesbetrieb für Hochwasserschutz,"Planung Ausbau Hochwasserschutz Ortslage Gatersleben
(Maßnahmeplan Nr. 297)",2009,2011," 99.407,32"," 99.407,32"
Landesbetrieb für Hochwasserschutz,"Planung Neubau Flutungspolder Rösa (Maßnahmeplan Nr.
90)",2009,2015," 685.008,12"," 685.008,12"
Landesbetrieb für Hochwasserschutz,"Projektsteuerung Hochwasserschutz Harz (Maßnahmenplan
Nr. 256)",2009,2011," 112.286,45"," 112.286,45"
Landesbetrieb für Hochwasserschutz,"Projektsteuerung Hochwasserschutz Selke (Maßnahmeplan
Nr. 306)",2009,2013," 116.833,25"," 116.833,25"
Landesbetrieb für Hochwasserschutz,"Rekonstruktion Wehr Rothenförde (MP 2010, Nr.:186)",2010,2012," 47.331,06"," 47.331,06"
Landesbetrieb für Hochwasserschutz,Sanierung Deich Sollnitz (lfd. Nr. Maßnahmeplan 2011: 14),2011,2015," 977.316,82"," 977.316,82"
Landesbetrieb für Hochwasserschutz,"Sanierung linker Elbedeich Glindenberg 1. BA (lfd. Nr. MP
2012: 219)",2012,2015," 823.786,16"," 823.786,16"
Landeshauptstadt Magdeburg,Anbindung Hansehafen 2. BA,2008,," 4.014.269,94",
Landeshauptstadt Magdeburg,"Anschaffung von 30 Schüler-PC, 2 Lehrer-PC, 34 BS, 4
Notebook, 1 Notebook-Beamer -Koffer, 3 Beamer, 1 Video-
PC, 1 Sitzterminal mit 2 PC, 1 Multimedia-PC für die IGS
""R.Hildebrandt"", 60 Client PC mit Monitor, 2 Server, 60
Country-Kit für das Werner-v.Sieme",2008,2014," 139.932,75"," 139.932,75"
Landeshauptstadt Magdeburg,"Energetische Sanierung Schulkomplex in der
Braunschweiger Straße - Grundschule",2013,," 3.214.618,00",
Landeshauptstadt Magdeburg,"Energetische Sanierung der Grundschule und der
Schulsporthalle ""Kritzmannstraße""",2013,," 1.570.139,00",
Landeshauptstadt Magdeburg,Ersatzneubau Hafenbahnbrücke über Zweigkanal,2010,," 6.982.446,00",
Landeshauptstadt Magdeburg,Erschl. des Altstandortes GG Kraftwerk-Süd,2010,2015," 3.387.456,46"," 3.387.456,46"
Landeshauptstadt Magdeburg,"Erschließung des industriellen Altstandortes SKET Freie
Straße, Magdeburg",2012,," 4.045.342,46",
Landeshauptstadt Magdeburg,GI Rothensee Zone 1,2008,2015," 7.617.889,34"," 7.617.889,34"
Landeshauptstadt Magdeburg,Geländeauffüllung der Ansiedlungsflächen,2008,2011," 843.192,12"," 843.192,12"
Landeshauptstadt Magdeburg,Mitteldeutsches Figurentheaterzentrum,2010,2015," 1.110.000,00"," 1.110.000,00"
Landeshauptstadt Magdeburg,"Nachnutzung einer gewerblichen Fläche im
Wissenschaftshafen - Gutachten zur Erkundung der
Bodenbeschaffenheit",2015,2015," 10.036,32"," 10.036,32"
Landeshauptstadt Magdeburg,"Radweg L 48/Agrarstraße in Magdeburg (Abschnitt
Olvenstedt bis Straße ""Am Großen Silberberg""), (30-RW-
0002)",2012,2015," 460.271,85"," 460.271,85"
Landeshauptstadt Magdeburg,"Sanierung Grundschule ""Am Pechauer Platz""",2012,2015," 1.174.893,49"," 1.174.893,49"
Landeshauptstadt Magdeburg,"Sanierung Schulgebäude BbS ""Eike-von-Repgow""
Magdeburg",2011,2015," 2.584.519,66"," 2.584.519,66"
Landeshauptstadt Magdeburg,"Sanierung Schulgebäude und Sporthalle FÖS(L) ""Comenius""
Magdeburg",2011,2015," 2.270.428,97"," 2.270.428,97"
Landeshauptstadt Magdeburg,"Sanierung Schulgebäude und Turnhalle GS ""Am
Kannenstieg"" Magdeburg",2011,2015," 3.301.098,09"," 3.301.098,09"
Landeshauptstadt Magdeburg,"Sanierung Schulkomplex ""Albert-Vater-Straße"", Magdeburg",2012,2015," 5.329.121,94"," 5.329.121,94"
Landeshauptstadt Magdeburg,"zur Anschaffung von 1 Beamer,  1 Trainingspak.-
Automatisierung, 1 Trainingspak. Antriebstechn. sowie 29
Beamer mit Halterung für die BbS III in Magdeburg sowie zur
Anschaffung von 81 PC, 81 Bildschirmen, 3 Laserdruckern
für die BbS I in Magdeburg, gem. ÄB",2010,2014," 107.116,30"," 107.116,30"
Landeshauptstadt Magdeburg,"zur Anschaffung von 12 Schülerarbeitsplätzen, 1
Lehrerarbeitsplatz, 1 Beamer inkl. Soundsystem und
Halterung, 1 Farbdrucker, 1 Scanner, 2 interaktive Beamer
inkl. Whiteboardtafel und Soundsystem,2 Laptops sowie
Software für die Förderschule Comenius in Ma",2012,2014," 11.850,00"," 11.850,00"
Landeshauptstadt Magdeburg,"zur Anschaffung von 29 Schüler-PC inkl. PC Wächter, 2
Laptops, 1 Netzwerkdrucker und 5 interaktiven Beamern inkl.
Whiteboardtafel, mini PC und Soundsystem für die
Berufsbildende Schule ""Dr. Otto Schlein"" in Magdeburg",2012,2013," 25.347,95"," 25.347,95"
Landeshauptstadt Magdeburg,"zur Anschaffung von 33 PC, 30 Monitoren, 3 Beamern incl.
Halterung und Montage sowie 3 Soundsystemen für das
Geschwister-Scholl-Gymnasium in Magdeburg
gemäß Änderungsbescheid zusätzlich 1 Server",2009,2014," 27.699,34"," 27.699,34"
Landeshauptstadt Magdeburg,"zur Anschaffung von 33 interaktiven Whiteboardtafeln, 33
Ultrakurzdistanzbeamern, 33 Mini-PC, 33 Wand-
Bodenhalterungen, 33 Stereo Soundsystemen und der
Einweisung der Mitarbeiter für 33 Schulen der
Landeshauptstadt Magdeburg.",2014,2015," 116.091,38"," 116.091,38"
Landeshauptstadt Magdeburg,"zur Anschaffung von 5 interakt. Whiteboards inkl. Zubehör
und 31 Schüler PC für die Berufsbildende Schule ""Eike von
Repgow"" in Magdeburg",2012,2014," 26.844,85"," 26.844,85"
Landeshauptstadt Magdeburg,"zur Anschaffung von 76 Schüler-PC, 76 Bildschirme, 1 USV,
4 Laserdrucker, 1 Beamer, Software und Internetanbindung
für die BbS IV in Magdeburg, gem. Änderungsantrag v.
23.01.12 Erweiterung auf 91 PC-Plätze",2011,2012," 51.252,35"," 51.252,34"
Landeshauptstadt Magdeburg,"zur Anschaffung von 80 Schüler-PC inkl. PC Wächter, 80
Monitoren, 2 Laptops, 5 Farblaserdrucker, 1
Netzwerkdrucker, 2 interaktive Beamer inkl. Whiteboardtafel,
mini PC und Soundsystem, 5 Switche, 2 USV inkl.
Steckdosenleisteneinschub, 1 Dokumentenkamera,",2012,2013," 57.629,92"," 57.629,92"
Landeshauptstadt Magdeburg,"zur Anschaffung von insgesamt 196 Laptops, 7 Lehrer-
Laptops und 14 Laptop Aufbewahrungsstattionen für die
Sekundarschule Goethe, die IGS Willy Brandt, die
Sekundarschule Leibniz, die Sekundarschule Weitling, die
Sekundarschule Thomas Mann, die Sekundarsch",2014,2015," 131.581,45"," 131.581,45"
Landeshauptstadt Magdeburg,"zur Ausstattung der Schulen IGS Willy Brandt mit 63 PC, 63
Monitore, 1 Server, 2 Whiteboard..., des Abendgymnasiums
mit 21 PC, 21 Monitore, 2 Whiteboard, 1 Server, 4 Beamer, 2
Laptop ..., des Hegel-Gymnasiums mit 63 PC, 61 Monitore, 1
Server, 2 Whiteboard",2012,2014," 159.470,00"," 159.470,00"
Landeshauptstadt Magdeburg,"zur Einrichtung von 12 Arbeitsplätzen (mini PC), 1
Lehrerarbeitsplatz und zur Anschaffung von 1 Beamer inkl.
Soundsystem und Halterung, 2 Farbdrucker, 1 Scanner, 24Schülerlaptops, 1 Lehrerlaptop, 1 Whiteboard mit Beamer,
Pylonhalterung, mini PC und Sound",2012,2014," 21.730,00"," 21.730,00"
"Landeshauptstadt Magdeburg,
Fachbereich Geodienste","Entwicklungsmaßnahme Rothensee, Zone I, Sanierung der
TF 70",2009,2010," 46.697,90"," 46.697,90"
"Landesverband Sachsen-Anhalt im
Dt. Bibliotheksverb. e.V.","Schaffung eines QM-Verbundes Nord von öffentlichen
Bibliotheken in Sachsen-Anhalt",2008,2015," 294.418,66"," 294.418,66"
"Landesverband Sachsen-Anhalt im
Dt. Bibliotheksverb. e.V.","Schaffung eines QM-Verbundes Süd von öffentlichen
Bibliotheken in Sachsen-Anhalt",2008,2015," 186.940,69"," 186.931,35"
Landkreis Anhalt-Bitterfeld,"Anschaffung von 29 Laptop, 1 interaktives Whiteboard für die
Sekundarschule ""Ciervisti"" Zerbst. 17 PC, 17 Bildschirme, 1
Beamer, Server, Software für die Sekundarschule I Wolfen, 8
PC, 8 Bildschirme, 3 Laptop, 3 Beamer, 1 Server, Software
für die Sek.schu",2008,2013," 73.500,00"," 83.330,94"
Landkreis Anhalt-Bitterfeld,"Schulumbau und Sanierung des Ludwigsgymnasiums in
Köthen",2012,2015," 7.760.412,04"," 7.760.412,04"
Landkreis Anhalt-Bitterfeld,"Teilsanierung der Förderschule ""Erich Kästner""",2012,2015," 2.967.586,69"," 2.967.586,69"
Landkreis Anhalt-Bitterfeld,"zur Ansch. v 25 Noteb.,1Drucker,1 Scanner,1 Interakt.
Whiteb.,1 Router u Software für die SekS ""Am Burgtor"" Aken,
von 17 PC, 17 Monit., 1 Switch und Softw. für die SekS ""A.
Diesterweg"" in Roitzsch, von 12 PC, 12 Monit., 1 Switch,1
Drucker und Softw. für d",2012,2015," 87.145,47"," 87.145,47"
Landkreis Anhalt-Bitterfeld,"zur Anschaffung v. 1 Video-PC m. Monitor, 2 Kameras m.
Stativ, 1 ext. Festplatte u. Software für die Sek.schule
Roitzsch, zur Ansch. von 2 PC mit behindertenger. Tastatur
u. Spezialsoftware, 1 Monitor, 2 behindertenger. Funkmäuse,
1 Laptop, 1Drucker sowie",2009,2010," 21.526,03"," 21.526,03"
Landkreis Anhalt-Bitterfeld,"zur Anschaffung von 1 Server inkl. Monitor, Betriebssystem,
Tastatur, Maus, Virenschutz und 20 Server Calls, 20
ThinClient  inkl. Monitor, Mounting Kit, VGA-Kabel,
Tastaturen und Mäusen, 1 Notebook inkl. Tasche und Maus,
1 Switch inkl. Patchkabel und 1 inOffice, 17 Serverzugriffslizenzen und 2 interaktiven
Whiteboards inkl. höhenverstellbarer Wandhalterung,
Ultrakurzdistanzbeamer, Software und Zub",2013,2015," 16.335,00"," 16.335,00"
Landkreis Anhalt-Bitterfeld,"zur Anschaffung von 1 interaktivem Whiteboard inkl.
höhenverstellbarer Wandhalterung, Ultrakurzdistanzbeamer,
Software und Zubehör für das Heinrich-Heine-Gymnasium
Bitterfeld-Wolfen",2014,2015," 4.000,00"," 4.000,00"
Landkreis Anhalt-Bitterfeld,"zur Anschaffung von 1 interaktivem Whiteboard inkl.
höhenverstellbarer Wandhalterung, Ultrakurzdistanzbeamer,
Software und Zubehör für die BbS Anhalt-Bitterfeld mit dem
Standort BbS Köthen",2014,2015," 3.846,08"," 3.846,08"
Landkreis Anhalt-Bitterfeld,"zur Anschaffung von 1 interaktivem Whiteboard inkl.
höhenverstellbarer Wandhalterung, Ultrakurzdistanzbeamer,
Software und Zubehör für die Sekundarschule Aken",2014,2015," 3.846,08"," 3.846,08"
Landkreis Anhalt-Bitterfeld,"zur Anschaffung von 1 interaktivem Whiteboard inkl.
höhenverstellbarer Wandhalterung, Ultrakurzdistanzbeamer,
Software und Zubehör für die Sekundarschule I Wolfen-Nord",2014,2015," 3.846,08"," 3.846,08"
Landkreis Anhalt-Bitterfeld,"zur Anschaffung von 1 interaktivem Whiteboard inkl.
höhenverstellbarer Wandhalterung, Ultrakurzdistanzbeamer,
Software und Zubehör für die Sekundarschule Roitzsch",2014,2015," 3.846,08"," 3.846,08"
Landkreis Anhalt-Bitterfeld,"zur Anschaffung von 15 Laptop, 1 Server, 1 Beamer, 1
Router und Softw. für die SekS ""An der Rüsternbreite""
Köthen, von 21 PC, 1 Server und Softw.  für das Heinr.-
Heine-Gymnasium Wolfen,  von 31 PC und Monit., 1 Server
und Softw. für das Walter-Rathenau-Gy",2010,2011," 71.536,35"," 71.536,35"
Landkreis Anhalt-Bitterfeld,"zur Anschaffung von 2 interaktiven Whiteboards inkl.
höhenverstellbarer Wandhalterung, Ultrakurzdistanzbeamer,
Software und Zubehör für die BbS Anhalt-Bitterfeld mit dem
Standort BSZ ""August von Parseval"" Bitterfeld",2014,2015," 7.561,26"," 7.561,26"
Landkreis Anhalt-Bitterfeld,"zur Einrichtung von 15 PC-Plätzen u. zur Anschaffung von 1
Server mit Monitor, 1 Beamer, 1 Scanner, 1 Drucker, 2
Whiteboard und Software für das Ludwigsgymnasium in
Köthen sowie zur Einrichtung von 21 PC-Plätzen u. zur
Anschaffung von 1 Server, 1 Drucker,",2011,2013," 42.058,64"," 42.058,64"
Landkreis Börde,"Einrichtung eines Multimedia-Raumes mit 15 Laptops gemäß
der Projektbeschreibung des Antrages sowie zur
Anschaffung eines Media-Wagens gem. ÄB vom 27.04.09",2008,2014," 19.290,25"," 19.290,25"
Landkreis Börde,"Einrichtung eines PC-Kabinetts sowie Anschaffung variabler
Technik und Software gemäß der Projektbeschreibung des
Antrages",2008,2014," 17.262,14"," 17.262,14"
Landkreis Börde,"Einrichtung von 10 Klassenräumen mit Lehrer-PC und
Aktivboad incl. Beamer gem. ZB ; gem. ÄB vom 08.06.2009
nur noch Einrichtung von 5 Klassenräumen - Berufsbildende
Schule Oschersleben",2008,2014," 32.803,54"," 32.803,54"
Landkreis Börde,"Energetische Sanierung der Sporthalle zum
Werkstattgebäude für berufsorientierten Unterricht",2013,," 1.384.806,74",
Landkreis Börde,Grundwassermonitoring 2009 HCH-Deponie Emden,2009,2012," 8.300,00"," 8.300,00"
Landkreis Börde,"K 1162, Neubau des Radweges Samswegen bis Meseberg
(83-RW-0005)",2014,2015," 279.175,19"," 279.175,19"
Landkreis Börde,"K 1224, Neubau des Radweges Osterweddingen bis Sülldorf
(83-RW-0004)",2014,2015," 203.935,47"," 203.935,47"
Landkreis Börde,"K 1318, Neubau des Radweges Kloster Gröningen (B 81) bis
Kreisgrenze Richtung Nienhagen (83-RW-0003)",2014,2015," 194.826,97"," 194.826,97"
Landkreis Börde,"Sanierung, An-und Umbau Sekundarschule "" A.
S.Puschkin""/Oschersleben",2012,2015," 4.900.927,13"," 4.900.927,13"
Landkreis Börde,"Sekundarschulzentrum Haldensleben, Sanierung, An- und
Umbau, Zweifeldsporthalle u. Außensportanlage",2010,2015," 5.104.327,09"," 5.104.327,09"
Landkreis Börde,"Wirtschaftlichkeitsuntersuchung zur Eigenenergienutzung
aus Holz und Holzwertstoffen (Eigenbesitz)",2014,2015," 39.922,12"," 39.922,12"
Landkreis Börde,"zur Anschaffung von 1 Schaltschrank 19"", 1 Patchboard, 1
Switch, 1 Router, 1 unterbrechungsfr. Stromversorgung, 4
Server, 1 Lehrer-PC, 19 Schüler-PC, 20 Monitore, 1 iMac
Apple incl. Software, 1 Scanner, 1 Color-Drucker, 1 s/w
Drucker, 1 Beamer, 1 Projekti",2009,2014," 29.014,49"," 29.014,49"
Landkreis Börde,"zur Anschaffung von 15 Schüler-PC mit Monitor, 1 Lehrer-PC
mit Monitor, 1 Datenprojektor, 1 Laserdrucker, 5 Beamer und
Notebook, 5 Multimedia-PC mit Monitoren,
Installationstechnik, 1 Serverschrank und Sonstiges gemäß
Projektbeschreibung des Antrages für",2010,2011," 32.065,88"," 32.065,88"
Landkreis Börde,"zur Anschaffung von 16 Schüler-PC, 16 Monitoren, 1 Lehrer
PC mit Monitor, 1 Colorlaserdrucker, 1 Scanner, 1 Beamer
mit Deckenhalterung, 2 Office Class in a Box sowie 17 x
Maus und Tastatur für die Förderschule  ""An der Bode"" in
Klein Oschersleben",2009,2010," 13.333,33"," 13.333,33"
Landkreis Börde,"zur Anschaffung von 20 Schüler-PC, 20 Schüler-Monitore, 1
Laserdrucker, 1 Beamer m. Deckenhalterung, 2 x Office 2007
und 18 x Maus und Tastatur gem. Projektbeschreibung Ihres
Antrages für die Sekundarschule Wanzleben",2009,2010," 13.333,33"," 13.333,33"
Landkreis Börde,"zur Anschaffung von 28 Schüler-PC, 2 Lehrer-PC, 30
Monitore, 3 Klassensätze Office 2007, 1 Interaktives
Whiteboard, 1 Netzwerkdrucker Color, Windows Lizenzen
und pädagogische Netzwerksoftware für die Berufsbildenden
Schulen in Haldensleben",2010,2014," 34.888,30"," 34.888,30"
Landkreis Börde,"zur Anschaffung von 30 Schüler-PC, 2 Lehrer-PC, 3 MS
Office-Pakete, 2 Drucker und 1 Interaktive Tafel für die
Sekundarschule ""Gottfried-Wilhelm-Leibniz"" in Wolmirstedt +
1 Switch, 3 Access-Points, 1 Festplatte, 2 Arbeitsspeicher, 32
Server-Calls und 29 MS",2012,2014," 22.801,28"," 22.801,28"
Landkreis Börde,zur Erneuerung der IT- Netzstruktur der BbS Haldensleben,2014,," 327.204,27",
Landkreis Börde,"zur Erneuerung der IT- Netzstruktur der BbS Haldensleben,
2. Projektabschnitt.",2014,," 190.000,00",
Landkreis Harz,"Denk'mal Klima- Machbarkeitsstudie zur energetischen
Sanierung denkmalgeschützter Gebäude",2014,2015," 55.300,01"," 55.300,00"
Landkreis Harz,Einheitliches tourist. Leitsystem Harz/LK Harz,2010,2014," 1.079.985,08"," 1.079.985,08"
Landkreis Harz,"Einrichtung von 15 PC-Arbeitsplätzen für die Sekundarschule
""Thomas Müntzer"" in Wernigerode, Anschaffung von 2 PC, 2
Monitore, 1 Notebook, 1 Beamer für die FS (L) Pestalozzi in
Wienrode",2008,2010," 18.426,34"," 18.426,33"
Landkreis Harz,"Einrichtung von PC-Arbeitsplätzen gemäß der
Projektbeschreibung des Antrages",2008,2009," 85.668,00"," 85.668,00"
Landkreis Harz,"Energetische Sanierung Sekundarschule Thale-Nord,
Neustädter Str. 48 in 06502 Thale",2013,," 918.000,00",
Landkreis Harz,"Förderschule ""Pestalozzi"", Minslebener Str.52, 38855
Wernigerode",2011,2015," 3.032.117,58"," 3.032.117,58"
Landkreis Harz,"Machbarkeitsstudie zur Umrüstung der Straßenbeleuchtung
in der  Modellstadt Dardesheim",2014,2015," 26.512,00"," 26.512,00"
Landkreis Harz,Schulbauförderung Gymnasium Stadtfeld Wernigerode,2010,2015," 3.757.634,00"," 3.757.634,00"
Landkreis Harz,"Schulbauförderung Sekundarschule Am Gröpertor
Halberstadt",2010,2013," 4.319.903,26"," 4.319.903,26"
Landkreis Harz,"Sekundarschule ""Ernst Bansi""",2010,2014," 3.130.937,69"," 3.130.937,69"
Landkreis Harz,"Umnutzung der ehemaligen Carl Ritter Schule in ein
Bildungszentrum",2008,2015," 322.884,40"," 322.884,40"
Landkreis Harz,"Zur Anschaffung von 1 Server, 1 Software, 60 Lizenzen, 1
Transceiver, 1 Erweiterungsmodul, 1 Firewall, 1 UTM
Maintenance, 13 Software, 5 Switch, 6
Sicherungsdatenträger für die BBS Halberstadt, Standort
Neuperstr. in Halberstadt; Zur Anschaffung von 1 SerOffice 2010 ""Classik in Box"" für die Sekundarschule ""Ludwig
Gleim"" Ermsleben + 1PC-Wächter, 1 didaktische Software
und 11 Betriebssystmen",2014,2015," 73.984,61"," 73.984,61"
Landkreis Harz,"zur Anschaffung von 1 DV Projektor, 1 Lautsprecherset, 1
SVGA-Kabel, 1 Audio-Video-Kabel, 1 USB-Kabel, 1
Wandanschlussfeld, 1 Dokumentenkamera, 1 Smart Math
Tools, 1 Notebook sowie eine Schulung zur Anwendung der
interaktiven Tafel, zusätzlich gemäß ÄB 3",2012,2015," 7.811,13"," 7.811,13"
